Title,Priority,Research Domain,Keywords,Summary,Key Quotes/Statistics,Source,Progress,Created time,Last edited time,Deadline
Quality Assurance Manual: Wind Engineering Studies of Buildings,Low,ESG and Technical Standards,,,,,Planned,"April 10, 2023 11:30 AM","April 26, 2023 11:52 AM",
"Ventilation, thermal comfort and indoor air quality in schools - updated guidance",Medium,ESG and Technical Standards,,,,,Not started,"April 10, 2023 11:30 AM","April 10, 2023 11:38 AM",
Classrom and indoor CO2 Standards compared: A look around the world,Medium,IAQ,,,,,Not started,"April 10, 2023 11:27 AM","April 10, 2023 11:39 AM",
We measured the CO2 Level in a Classroom. This is what we found out,Medium,IAQ,,,,,Not started,"April 10, 2023 11:26 AM","April 10, 2023 11:38 AM",
How CO2 threatens well-being productivity and health at office work,Low,IAQ,,,,,Not started,"April 10, 2023 11:25 AM","April 10, 2023 11:38 AM",
"CO2 in Schools: It doesnt kill the student, it may kill your grades",Medium,IAQ,,,,AirMex,Not started,"April 10, 2023 11:24 AM","April 10, 2023 11:38 AM",
Enhancing Safety and Learning in Schools through Smart CO2 Monitors,Medium,IAQ,,,,,Not started,"April 10, 2023 11:22 AM","April 10, 2023 11:38 AM",
Technical Guide for Air Ventilation Assessment for Developments in Hong Kong,Medium,ESG and Technical Standards,,,,,Not started,"April 10, 2023 11:20 AM","April 10, 2023 11:38 AM",
Ventilation rates in California classrooms: Why many recent HVAC retrofits are not delivering sufficient ventilation,Medium,IAQ,,,,Elsevier,Not started,"April 10, 2023 11:16 AM","April 10, 2023 11:38 AM",
The Impact of CO2 on Children’s Learning,Medium,IAQ,"Academic Performance, CO2, Indoor Air Quality, Learning",,,SAV Systems,Not started,"April 10, 2023 11:14 AM","April 10, 2023 11:15 AM",
SDG Targets Overview,Low,ESG and Technical Standards,ESG,,,,In progress,"April 10, 2023 11:13 AM","April 26, 2023 11:51 AM","April 21, 2023"
CO2 Concentration Monitoring Inside Educational Buildings as a Strategic Tool to Reduce Risk of Sars-CoV-2 Airbone Transmission,Medium,IAQ,,,,Elsevier,Not started,"April 10, 2023 11:11 AM","April 10, 2023 11:38 AM",
"Analysis of concentration fluctuations in gas dispersion around high-rise building
for different incident wind directions",Low,IAQ,,,,,Not started,"April 10, 2023 11:10 AM","April 10, 2023 11:38 AM",
Agents in AI,Medium,AI/ML,"ChatGPT, ML/AI",,,GeeksforGeeks,Done,"April 10, 2023 11:05 AM","April 26, 2023 11:48 AM","April 14, 2023"
IAQ Measurement in Hong Kong,High,IAQ,"CO2, Indoor Air Quality","Indoor Air Quality Measurement in Hong Kong contains research on the indoor air quality (IAQ) levels in Hong Kong, specifically focusing on IAQ elements & implications, measurements, recommended/guidance levels.",,HKUST,Done,"April 10, 2023 11:03 AM","April 24, 2023 5:49 PM","April 14, 2023"
"Associations of Cognitive Function Scores with Carbon Dioxide, Ventilation,
and Volatile Organic Compound Exposures in Office Workers",Low,IAQ,"CO2, Indoor Air Quality, Office",,,Environmental Health Perspectives,Not started,"April 10, 2023 11:01 AM","April 10, 2023 11:03 AM",
Numerical and Experimental Study on the Indoor Climate in a Classroom with Mixing and Displacement Air Distribution Methods,High,IAQ,"CO2, D-School Wellness, Digital Twin, Indoor Air Quality","The article, ""Numerical and Experimental Study on the Indoor Climate in a Classroom with Mixing and Displacement Air Distribution Methods,"" focuses on the impact of different air distribution methods on the indoor climate of a classroom based on both computational fluid dynamic simulations and experimental studies. ","The results showed the CFD simulation can give very promising results
with measured surface temperatures as boundary conditions. The CFD simulation is also capable of predicting thermal comfort conditions, the age of air, and ventilation effectiveness.",MDPI,Done,"April 10, 2023 10:59 AM","April 12, 2023 3:56 PM","April 14, 2023"
"The Effect of CO2 Concentration on Children’s
Well-Being during the Process of Learning",Medium,IAQ,"CO2, D-School Wellness, Learning",,,Energies,Not started,"April 10, 2023 10:49 AM","April 10, 2023 10:54 AM",
Quantitative relationships between classroom CO2 concentration and learning in elementary schools,Medium,IAQ,"CO2, D-School Wellness, Learning",,,International Centre for Indoor Environment and Energy,Planned,"April 10, 2023 10:43 AM","April 26, 2023 11:48 AM","April 14, 2023"
ChatGPT Gets Its Wolfram Superpowers,High,AI/ML,"ChatGPT, ML/AI, Wolfram","The article ""ChatGPT Gets Its Wolfram Superpowers"" by Stephen Wolfram discusses how the integration of Wolfram Alpha has enhanced the capabilities of ChatGPT.","In ChatGPT + Wolfram we’re now able to leverage the whole stack: from the pure “statistical neural net” of ChatGPT, through the “computationally anchored” natural language understanding of Wolfram|Alpha, to the whole computational language and computational knowledge of Wolfram Language",Stephen Wolfram,Done,"April 8, 2023 10:19 PM","April 10, 2023 10:33 AM","April 10, 2023"
Predictive Digital Twins,High,"AI/ML, Digital Twin",Digital Twin,"A digital twin is an evolving virtual model that mirrors an individual physical asset throughout its lifecycle. Key to the digital twin concept is the ability to sense, collect, analyze, and learn from the asset’s data. To make digital twins a reality, many elements of the interdisciplinary field of computational science, including physics-based modeling and simulation, inverse problems, uncertainty quantification, and scientific machine learning, have an important role to play.
In this work, we develop a probabilistic graphical model as a formal mathematical representation of a digital twin and its associated physical asset. We create an abstraction of the asset-twin system as a set of coupled dynamical systems, evolving over time through their respective state-spaces and interacting via observed data and control inputs. The abstraction is realized computationally as a dynamic decision network. Predictive capabilities are enabled by physics-based reduced-order models. We demonstrate how the approach is instantiated to create, update and deploy a structural digital twin of an unmanned aerial vehicle.",,EPFL,Done,"April 25, 2023 6:26 PM","April 25, 2023 8:33 PM","April 25, 2023"
